,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
231,9,MF,3,3,A,1,1.7,10.17,1,11.4,9.7,45.065,2.411017627,7.069,24.9
232,9,MF,5,5,A,1,0.65,17.41,1,21.9,14.1,45.065,2.411017627,7.069,24.9
233,9,MF,6,6,L,2,1.45,29.99,2,34.7,12,45.065,2.411017627,7.069,24.9
234,9,MF,7,7,R,3,4.85,28.84,1,7.4,8.8,45.065,2.411017627,7.069,24.9
235,9,MF,8,8,R,3,5.2,27.61,1,4.4,6.1,45.065,2.411017627,7.069,24.9
236,9,MF,9,9,A,1,8.85,29.98,1,34.8,17.3,45.065,2.411017627,7.069,24.9
237,9,MF,10,10,R,3,10.25,27.98,1,5.5,8,45.065,2.411017627,7.069,24.9
238,9,MF,11,11,R,3,15.2,27.65,1,4.25,6.9,45.065,2.411017627,7.069,24.9
239,9,MF,12,12,A,1,16.65,29.05,1,30,21.4,45.065,2.411017627,7.069,24.9
240,9,MF,13,13,R,3,16.5,26.4,1,5.2,8.4,45.065,2.411017627,7.069,24.9
241,9,MF,14,14,R,3,16.85,27.05,1,3.1,3.7,45.065,2.411017627,7.069,24.9
242,9,MF,15,15,R,3,19.15,27.56,1,5,6.6,45.065,2.411017627,7.069,24.9
243,9,MF,16,16,R,3,19.4,29.42,1,1.6,2.8,45.065,2.411017627,7.069,24.9
244,9,MF,17,17,R,3,23.6,29.36,1,6.1,9.2,45.065,2.411017627,7.069,24.9
245,9,MF,18,18,A,1,25.45,29.51,1,23.3,21.3,45.065,2.411017627,7.069,24.9
246,9,MF,19,19,A,1,28.65,29.16,1,11.4,12,45.065,2.411017627,7.069,24.9
247,9,MF,21,21,R,3,29.4,20.76,1,1.2,2,45.065,2.411017627,7.069,24.9
248,9,MF,23,23,A,1,26.95,18.82,1,25.7,14.8,45.065,2.411017627,7.069,24.9
249,9,MF,24,24,A,1,28.75,13.46,1,24.4,9.9,45.065,2.411017627,7.069,24.9
250,9,MF,25,25,R,3,29.9,12.95,1,2.1,2.3,45.065,2.411017627,7.069,24.9
251,9,MF,26,26,R,3,28.5,11.8,1,1.1,1.65,45.065,2.411017627,7.069,24.9
252,9,MF,27,27,A,1,29.1,8.61,1,25,16.5,45.065,2.411017627,7.069,24.9
